date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V,implied_sigma_V,cca_converged
2019-06-02,South Africa,198.89,0.0252,194.244008,107.83686757641253,0.18700935489944936,279.0726889441772,0.07233247368956874,True
2019-06-09,South Africa,201.22,0.0252,194.244008,105.17908274719166,0.18639928189573954,276.41504171424305,0.07099685334564661,True
2019-06-16,South Africa,200.4,0.0252,194.244008,105.98113618616577,0.1843695422079272,277.21871153060744,0.07054589919575789,True
2019-06-23,South Africa,170.95,0.0252,194.244008,109.7869582334211,0.1875882697450444,281.0225734639005,0.07335558538401242,True
2019-06-30,South Africa,166.34,0.0207,190.362578,113.67373206175462,0.1896374965389284,285.30507299628033,0.07563294557094896,True
2019-07-07,South Africa,163.24,0.0207,190.362578,119.92652976853874,0.18529225895074505,291.5619812396655,0.07626909994513476,True
2019-07-14,South Africa,159.68,0.0207,190.362578,121.55864580270584,0.18518491058279657,293.19434749769,0.07683019124798034,True
2019-07-21,South Africa,158.02,0.0207,190.362578,121.96667485039033,0.18476369387584315,293.60269030829335,0.07680413350887302,True
2019-07-28,South Africa,169.22,0.0207,190.362578,118.92345841997745,0.1861592248607195,290.5582054049778,0.07625131409254639,True
2019-08-04,South Africa,185.21,0.0203,190.017562,115.1297963729913,0.18818415231497806,286.7944657925692,0.0756124767331474,True
2019-08-11,South Africa,186.91,0.0203,190.017562,111.55433691218286,0.18189770542779088,283.222954823362,0.07169365650682012,True
2019-08-18,South Africa,188.65,0.0203,190.017562,111.24786892880239,0.17753153299240299,282.918766790012,0.06984472528100036,True
2019-08-25,South Africa,188.04,0.0203,190.017562,111.63946684876777,0.17560176840455916,283.3112419331028,0.06922819675455269,True
2019-09-01,South Africa,178.28,0.019,188.89626,112.98371834545651,0.17215680407631637,284.7567028519714,0.06833151466242739,True
2019-09-08,South Africa,162.65,0.019,188.89626,115.84862586198757,0.16874413573885544,287.62274420897194,0.06798463409928872,True
2019-09-15,South Africa,162.16,0.019,188.89626,117.68422527363941,0.16837666827116235,289.4585118877198,0.06847323779202419,True
2019-09-22,South Africa,179.51,0.019,188.89626,114.93940376394568,0.16585535809882604,286.714156960652,0.06650331082242769,True
2019-09-29,South Africa,188.79,0.019,188.89626,113.18957998344153,0.16579231175550452,284.9642843152518,0.06586847784798423,True
2019-10-06,South Africa,192.93,0.015,185.4461,124.19479902122674,0.18892086932154664,296.2291421355702,0.07926933942085487,True
2019-10-13,South Africa,187.97,0.015,185.4461,126.21270757072558,0.18882875390420487,298.2473807417403,0.0799705859016281,True
2019-10-20,South Africa,179.1,0.015,185.4461,126.34349789474552,0.1888187894142783,298.37819524434946,0.08001396080148523,True
2019-10-27,South Africa,163.49,0.015,185.4461,127.68877031011688,0.18819535116888403,299.7240963146122,0.0802334973959323,True
2019-11-03,South Africa,185.54,0.0165,186.73991,122.79642538380304,0.19295872462117739,294.7329394532686,0.08047565529206346,True
2019-11-10,South Africa,176.69,0.0165,186.73991,124.21763761020206,0.19308073667806425,296.15426186128593,0.0810661063292334,True
2019-11-17,South Africa,177.24,0.0165,186.73991,125.45427675656528,0.1923275076259629,297.3917912358193,0.08120963781204164,True
2019-11-24,South Africa,183.61,0.0165,186.73991,125.4173621765556,0.19215773837764027,297.35502419839884,0.08112348213753055,True
2019-12-01,South Africa,185.32,0.0173,187.429942,126.58414486849948,0.1922478818495987,298.46832981623726,0.08160983004940138,True
2019-12-08,South Africa,185.64,0.0173,187.429942,126.82529287588184,0.19071350117834465,298.71083199051856,0.08104075629845207,True
2019-12-15,South Africa,173.31,0.0173,187.429942,127.73423522162476,0.18960595541663142,299.6207845067567,0.08089612558344121,True
2019-12-22,South Africa,164.59,0.0173,187.429942,130.3868631553665,0.18917129187530268,302.2740817986746,0.0816592512899113,True
2019-12-29,South Africa,163.59,0.0173,187.429942,132.2047480113878,0.1891513045355102,304.0922070883491,0.08229208349053103,True
2020-01-05,South Africa,162.09,0.0183,202.3171655,135.4315448352887,0.1662787993946667,320.05609891665426,0.07037310215768469,True
2020-01-12,South Africa,163.42,0.0183,202.3171655,134.9468220813011,0.16630980665944792,319.5713544134298,0.07024084189445884,True
2020-01-19,South Africa,169.32,0.0183,202.3171655,134.13248779780747,0.16652267019516623,318.75694960340235,0.07008536135588964,True
2020-01-26,South Africa,177.37,0.0183,202.3171655,134.7141551558926,0.1659711440580005,319.33874878097726,0.07002765091355677,True
2020-02-02,South Africa,186.18,0.0192,203.151272,125.37639511222476,0.1807181197680439,309.923918523149,0.07314964141480015,True
2020-02-09,South Africa,176.94,0.0192,203.151272,124.92472394174807,0.17920253517242796,309.47304017361563,0.07237678188723477,True
2020-02-16,South Africa,167.65,0.0192,203.151272,126.20445898331516,0.1761561863396251,310.7543308726226,0.07157150314502086,True
2020-02-23,South Africa,170.04,0.0192,203.151272,125.41403442680495,0.17632698443000785,309.96377730916885,0.07137457659119023,True
2020-03-01,South Africa,212.9,0.0154,199.629489,121.31156906170891,0.17838257762100077,306.1392915214881,0.0707244286905868,True
2020-03-08,South Africa,249.5,0.0154,199.629489,121.29256068404318,0.17762298112358946,306.12066807995257,0.07041477116507712,True
2020-03-15,South Africa,305.29,0.0154,199.629489,116.99666366792134,0.18163874753915127,301.822102118148,0.07045935506665409,True
2020-03-22,South Africa,383.9399,0.0154,199.629489,107.94866827016621,0.19909314813229861,292.7541400166453,0.07355975585002748,True
2020-03-29,South Africa,396.6499,0.0154,199.629489,107.83461788947385,0.19884816036033962,292.64044584585446,0.07341880938189821,True
2020-04-05,South Africa,492.47,0.011,195.551635,114.34139885793797,0.20699349465581268,299.3859595975778,0.0792560225507939,True
2020-04-12,South Africa,365.3401,0.011,195.551635,121.22366211742315,0.2148117341309857,306.2521940557905,0.08529425740897403,True
