date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,convenience_yield,implied_V,implied_sigma_V,cca_converged
2018-07-15,China,67.31,0.0289,1958.0334899999998,4642.909026046761,0.07104835128677149,0.060804203072228516,6628.911908553373,0.052050666296082265,True
2018-07-22,China,64.32999,0.0289,1958.0334899999998,4588.538771782979,0.07216468440573313,0.050761780632409464,6522.683716636123,0.052701524996792655,True
2018-07-29,China,57.40999,0.0289,1958.0334899999998,4559.644864751106,0.07238993946863469,0.04096610697538306,6445.282056880483,0.05277582927292869,True
2018-08-05,China,63.57999,0.0287,1956.32267,4549.73042601672,0.07225610235715148,0.04943178453104273,6476.2943386039415,0.052645372173015056,True
2018-08-12,China,62.56999,0.0287,1956.32267,4540.71428628269,0.0716934611438462,0.04076086568447078,6425.59919773974,0.05220730008623129,True
2018-08-19,China,61.57999,0.0287,1956.32267,4520.505698539669,0.07183940920818621,0.042233516638586314,6411.852948865506,0.05225009301463412,True
2018-08-26,China,58.84,0.0287,1956.32267,4567.451803162958,0.07249601255343996,0.05448558599682099,6519.870630089174,0.05287584944436394,True
2018-09-02,China,59.96999,0.03,1967.443,4528.688695774115,0.07008711727650821,0.07315903499686907,6569.454929066444,0.0510122988079508,True
2018-09-09,China,58.84999,0.03,1967.443,4520.644843801288,0.06900468272273604,0.0743344371216361,6566.755789753651,0.050200147899001214,True
2018-09-16,China,55.85999,0.03,1967.443,4503.938382365679,0.06827244444914529,0.07619819400023659,6558.271302710592,0.04961729819101574,True
2018-09-23,China,58.92,0.03,1967.443,4511.672855458858,0.06807108145078593,0.07632567106135332,6567.544873742637,0.04949414137752972,True
2018-09-30,China,56.95999,0.0286,1955.46726,4561.19544961824,0.06890954638974471,0.07141777087336657,6597.357016728886,0.05024051335785845,True
2018-10-07,China,60.87,0.0286,1955.46726,4787.584133882511,0.08140373181936367,0.06607397114577522,6808.745135847665,0.06011995609897184,True
2018-10-14,China,65.09,0.0286,1955.46726,4750.425194141884,0.081062155475685,0.060428587747647484,6741.1462986851175,0.05974549679879914,True
2018-10-21,China,67.70999,0.0286,1955.46726,4745.492591555422,0.08081822926898996,0.059892301378653576,6733.279000871357,0.059549438128466685,True
2018-10-28,China,73.03,0.0286,1955.46726,4735.956226350194,0.08069670872457814,0.04779745538561701,6662.540961163744,0.05942840574998942,True
2018-11-04,China,65.84,0.0308999999999999,1975.141689999999,4694.362982402094,0.08067356061830139,0.04902240700414826,6623.040174471576,0.059296349425578834,True
2018-11-11,China,63.64999,0.0308999999999999,1975.141689999999,4650.046022416005,0.08125575765159376,0.037975167479100604,6522.815650746339,0.059573824945706386,True
2018-11-18,China,68.81,0.0308999999999999,1975.141689999999,4662.338317895431,0.08126905801955649,0.021576624193445235,6455.47840267365,0.05962552372204586,True
2018-11-25,China,74.20999,0.0308999999999999,1975.141689999999,4655.545206971754,0.08119429409373376,0.02745483212680417,6477.062458683555,0.0595475308062432,True
2018-12-02,China,69.51999,0.0314,1979.4187399999998,4635.590322801457,0.08127203635002608,0.017761210892686882,6409.355800119011,0.05954158350075279,True
2018-12-09,China,68.78,0.0314,1979.4187399999998,4692.70033048127,0.08219634461686434,0.04112882601402246,6581.328981161626,0.06041534224360081,True
2018-12-16,China,65.57999,0.0314,1979.4187399999998,4671.082417753578,0.08231790491772627,0.019242301744855504,6452.094876133624,0.06043058032387485,True
2018-12-23,China,69.28,0.0314,1979.4187399999998,4671.727728818074,0.08217097817502231,0.06481778952445362,6676.316768253453,0.06032493518276426,True
2018-12-30,China,67.75999,0.0314,1979.4187399999998,4690.764398295527,0.08024713928793269,-0.009346718822978495,6332.07339167119,0.058976202090181305,True
2019-01-06,China,70.23999,0.0298,2253.834738,4839.209133141278,0.0827864663559061,0.028774709411208133,6921.88329351189,0.05907955348045032,True
2019-01-13,China,63.34999,0.0298,2253.834738,4914.998367899684,0.08415377224553365,0.038295095645522345,7049.366466044499,0.060321677255248465,True
2019-01-20,China,60.12,0.0298,2253.834738,4903.696463956588,0.08370718932452124,0.04066619831994086,7050.279903181596,0.059962427521703485,True
2019-01-27,China,59.10999,0.0298,2253.834738,4926.632680204525,0.08275314726542167,0.028797158532033202,7011.189269213393,0.059357401720975755,True
2019-02-03,China,54.39999,0.0269,2225.392089,5208.46881511024,0.09878169893903498,0.03300541742303657,7325.71244375496,0.07191999706288894,True
2019-02-10,China,57.62,0.0269,2225.392089,5208.46881511024,0.09878221806545506,0.03310815586457318,7326.325313906963,0.0719203750232906,True
2019-02-17,China,54.62999,0.0269,2225.392089,5187.039124152407,0.09851210773822149,0.046161989330226805,7376.1604036990875,0.07164322825877588,True
2019-02-24,China,52.12999,0.0269,2225.392089,5232.35765082031,0.09884597476315424,0.040400088653245264,7391.009249019047,0.07205625382626059,True
2019-03-03,China,50.12,0.027,2226.3728699999997,5118.777645110109,0.10139220668352437,0.03998421968617324,7271.66631594803,0.07347176173090866,True
2019-03-10,China,51.84999,0.027,2226.3728699999997,5107.105829535687,0.1014047813038187,0.041725123749059186,7269.159883094327,0.07343465872824594,True
2019-03-17,China,46.7,0.027,2226.3728699999997,5113.2850256439115,0.10140922078133446,0.05237483190584042,7333.907010552722,0.07346236052313468,True
2019-03-24,China,47.81,0.027,2226.3728699999997,5109.852138943013,0.10136947418959083,0.05934375932589134,7368.775027060842,0.07341997431984931,True
2019-03-31,China,46.0,0.0276,2232.257556,5022.548143010314,0.09967415918491973,0.06619998607052108,7314.790118681181,0.07185497464876633,True
2019-04-07,China,43.31,0.0276,2232.257556,5170.709303840648,0.10368702669849958,0.07965743756432296,7546.5202555936985,0.07535044960201698,True
