date,Copper_cash,Copper_12m,Nickel_cash,Nickel_12m,CokingCoal_12m,CokingCoal_cash,IronOre_cash,IronOre_12m,ThermalCoal_cash,ThermalCoal_12m,Platinum_cash,Platinum_12m,NatGas_cash,NatGas_12m
01.05.2020,5099.25,5162.25,11922.75,12144,1044,1234.5,691,546.5,616.2,503,768.4,,1.89,2.569
08.05.2020,5258,5328.5,12289,12520.5,1062,1151.5,681,563.5,633.4,503,783.2,,1.823,2.521
15.05.2020,5164.5,5239.75,11808.5,12032.5,1086.5,1170,713,579.5,639.6,505.4,816.4,,1.646,2.492
22.05.2020,5272.8,5347.75,12204.5,12445.5,1078.5,1207.5,778,614.5,688.6,512.2,883.6,,1.731,2.485
29.05.2020,5358.75,5432.5,12270.75,12511.5,1068,1185,776,612.5,760.8,510.6,870.5,,1.849,2.526
05.06.2020,5678.8,5737.25,12948.5,13172,1077.5,1242,788.5,624.5,741.4,508.6,830.4,,1.782,2.488
12.06.2020,5770.75,5824.25,12618,12839,1100.5,1257,797,629,759.6,510,819,,1.731,2.523
19.06.2020,5839.25,5886.75,12722,12952.75,1109.5,1256,806,633.5,794.4,510,827.3,,1.669,2.517
26.06.2020,5955.5,5975.5,12641.5,12850,1111.5,1245.5,806,630,793.4,510.4,809.9,,1.544,2.461
03.07.2020,6019.5,6027.25,12970.5,13156,1111.5,1211,776.5,622,850.2,521,822.5,,1.734,2.54
10.07.2020,6416.05,6395,13489,13663,1123,1242,833,654.5,576.4,535.2,840.1,,1.805,2.522
17.07.2020,6455,6433.5,13191,13379.75,1131,1246.5,869.5,662,587.8,525.2,844.1,,1.718,2.535
24.07.2020,6425,6390.75,13625.25,13812.5,1161.5,1297,870,674.5,574.2,526.8,948.5,,1.808,2.557
31.07.2020,6422.5,6402,13748,13943,1154,1286.5,879,674,557.8,529.2,912.2,,1.799,2.634
07.08.2020,6305,6315.25,14353.75,14529.5,1170,1220.5,899.5,715.5,552.4,526.4,967.4,,2.238,2.712
14.08.2020,6366.25,6374,14332,14525,1143.5,1194.5,910.5,739,568.6,520,956.2,,2.356,2.752
21.08.2020,6498.75,6488,14661.5,14861.5,1148,1213,920,753,562.6,523,923.5,,2.448,2.81
28.08.2020,6681.5,6651,15344,15524,1153.5,1229.5,918.5,726,561.2,533.8,937.5,,2.657,2.813
04.09.2020,6715.5,6692,15269.5,15447.5,1203.5,1222.5,920,749,569.4,532.6,898.2,,2.588,2.855
11.09.2020,6747.25,6718,15062.25,15242.5,1187.5,1254.5,913,734,583.8,545,939.6,,2.269,2.854
18.09.2020,6833.25,6794,14871,15063.5,1187,1281,915.5,695.5,597.2,550.2,938.5,,2.048,2.833
25.09.2020,6546.55,6550.55,14230,14417.5,1163,1283.5,910,667.5,601.8,561,842,,2.139,2.829
02.10.2020,6554.75,6558.5,14395.5,14563.5,1179,1315.5,960.5,691,595.4,560.6,886.4,,2.438,2.782
09.10.2020,6766.5,6774.5,15197.5,15360,1208,1311,923.5,715,608.8,559.6,889.7,,2.741,2.893
16.10.2020,6736.5,6749,15623.5,15786,1200.5,1314,876,685,603,556,865.2,,2.773,3.001
23.10.2020,6861.75,6876.5,15687.25,15860.25,1216.5,1329,868,686,621.8,552.8,902.5,,2.971,3.004
30.10.2020,6713.75,6732.25,15128,15293,1231,1334.5,859,675,626.2,562,844.6,,3.354,3.138
06.11.2020,6940.75,6958.25,15336.75,15477.75,1242.5,1305.5,821.5,673,643.4,562,897.2,,2.888,3.008
13.11.2020,6975.25,6993.25,15864,16002,1259,1324.5,860.5,697.5,704.2,562,893.8,,2.995,3.041
20.11.2020,7271.5,7277.5,16119.5,16269,1249.5,1310,913,717,736.6,562.8,954.4,,2.65,2.836
27.11.2020,7493.25,7494.5,16418.5,16565.25,1285,1450.5,930.5,756.5,750.8,572.8,963,,2.843,3.044
04.12.2020,7755.75,7738.75,16377.5,16501,1349.5,1513,952.5,787.5,770.6,601.2,1072.8,,2.575,2.871
11.12.2020,7764,7755.5,17252.25,17396,1424.5,1566,1067.5,932.5,743,649.6,1021.8,,2.591,2.935
18.12.2020,7980.25,7959.5,17449,17610,1542,1525,1093.5,951.5,794.4,668.6,1043.1,,2.7,2.998
25.12.2020,7782.25,7766.75,16950.5,17135.5,1609,1569.5,1100,919.5,759.6,640,1028.9,,2.518,2.893
01.01.2021,7757.75,7747.25,16566.5,16762,1529,1500.5,1079,879,794.4,629.4,1075.4,,2.539,3.006
08.01.2021,8123.75,8098.5,17635.25,17790.25,1665.5,1646,1138,958.5,793.4,653.2,1067.6,,2.7,3.102
