Date,SPX,DXY,UST2Y,UST5Y,UST10Y
30.12.2020,3732.04,89.68,0.127,0.37,0.926
31.12.2020,3756.07,89.94,0.121,0.359,0.912
01.01.2021,3756.07,89.94,0.121,0.359,0.912
04.01.2021,3700.65,89.87,0.115,0.354,0.917
05.01.2021,3726.86,89.44,0.123,0.377,0.955
06.01.2021,3748.14,89.53,0.145,0.432,1.042
07.01.2021,3803.79,89.83,0.139,0.454,1.071
08.01.2021,3824.68,90.1,0.137,0.479,1.107
11.01.2021,3799.61,90.47,0.145,0.498,1.134
12.01.2021,3801.19,90.09,0.147,0.504,1.138
13.01.2021,3809.84,90.36,0.147,0.474,1.088
14.01.2021,3795.54,90.24,0.147,0.484,1.129
15.01.2021,3768.25,90.77,0.137,0.455,1.097
18.01.2021,3768.25,90.77,0.137,0.455,1.097
19.01.2021,3798.91,90.5,0.131,0.447,1.092
20.01.2021,3851.85,90.48,0.131,0.449,1.09
21.01.2021,3853.07,90.13,0.125,0.447,1.107
22.01.2021,3841.47,90.24,0.125,0.434,1.091
25.01.2021,3855.36,90.39,0.121,0.41,1.04
26.01.2021,3849.62,90.17,0.125,0.413,1.04
27.01.2021,3750.77,90.65,0.119,0.407,1.014
28.01.2021,3787.38,90.46,0.121,0.43,1.055
29.01.2021,3714.24,90.58,0.117,0.445,1.094
01.02.2021,3773.86,90.98,0.111,0.424,1.077
02.02.2021,3826.31,91.2,0.117,0.445,1.107
03.02.2021,3830.17,91.17,0.117,0.459,1.131
04.02.2021,3871.74,91.53,0.115,0.459,1.139
05.02.2021,3886.83,91.04,0.107,0.467,1.17
08.02.2021,3915.59,90.93,0.111,0.475,1.16
09.02.2021,3911.23,90.44,0.117,0.474,1.157
10.02.2021,3909.88,90.37,0.113,0.456,1.133
11.02.2021,3916.38,90.42,0.111,0.461,1.158
12.02.2021,3934.83,90.48,0.111,0.485,1.2
15.02.2021,3934.83,90.48,0.111,0.485,1.2
16.02.2021,3932.59,90.51,0.123,0.561,1.299
17.02.2021,3931.33,90.95,0.111,0.566,1.299
18.02.2021,3913.97,90.59,0.109,0.548,1.287
19.02.2021,3906.71,90.36,0.109,0.581,1.345
22.02.2021,3876.5,90.01,0.115,0.597,1.369
23.02.2021,3881.37,90.17,0.122,0.579,1.364
24.02.2021,3925.43,90.18,0.127,0.626,1.389
25.02.2021,3829.34,90.13,0.166,0.8,1.515
26.02.2021,3811.15,90.88,0.145,0.776,1.456
01.03.2021,3901.82,91.04,0.123,0.711,1.446
02.03.2021,3870.29,90.79,0.123,0.677,1.415
03.03.2021,3819.72,90.95,0.141,0.727,1.47
04.03.2021,3768.47,91.63,0.145,0.782,1.55
05.03.2021,3841.94,91.98,0.141,0.785,1.554
08.03.2021,3821.35,92.31,0.163,0.85,1.594
09.03.2021,3875.44,91.96,0.167,0.821,1.544
10.03.2021,3898.81,91.82,0.157,0.792,1.52
11.03.2021,3939.34,91.42,0.143,0.778,1.527
12.03.2021,3943.34,91.68,0.151,0.847,1.635
15.03.2021,3968.94,91.83,0.153,0.83,1.607
16.03.2021,3962.71,91.87,0.151,0.824,1.623
17.03.2021,3974.12,91.44,0.129,0.782,1.641
18.03.2021,3915.46,91.86,0.159,0.867,1.729
19.03.2021,3913.1,91.92,0.151,0.882,1.732
22.03.2021,3940.59,91.74,0.149,0.858,1.682
23.03.2021,3910.52,92.34,0.149,0.829,1.638
24.03.2021,3889.14,92.53,0.145,0.814,1.614
25.03.2021,3909.52,92.53,0.137,0.819,1.614
26.03.2021,3974.54,92.77,0.141,0.856,1.66
29.03.2021,3971.09,92.94,0.145,0.891,1.721
30.03.2021,3958.55,93.3,0.148,0.91,1.726
31.03.2021,3972.89,93.23,0.16,0.938,1.746
01.04.2021,4019.87,92.93,0.16,0.907,1.679
02.04.2021,4019.87,93.02,0.16,0.907,1.679
05.04.2021,4077.91,92.6,0.174,0.941,1.72
06.04.2021,4073.94,92.34,0.161,0.872,1.656
07.04.2021,4079.95,92.46,0.153,0.858,1.654
08.04.2021,4097.17,92.06,0.149,0.84,1.632
09.04.2021,4128.8,92.16,0.157,0.868,1.666
12.04.2021,4127.99,92.14,0.171,0.892,1.676
13.04.2021,4141.59,91.85,0.161,0.84,1.623
14.04.2021,4124.66,91.69,0.163,0.86,1.636
15.04.2021,4170.42,91.69,0.157,0.792,1.53
16.04.2021,4185.47,91.56,0.163,0.823,1.573
19.04.2021,4163.26,91.07,0.161,0.829,1.599
20.04.2021,4134.94,91.24,0.153,0.795,1.562
21.04.2021,4173.42,91.16,0.149,0.8,1.564
22.04.2021,4134.98,91.33,0.151,0.802,1.556
23.04.2021,4180.17,90.86,0.157,0.816,1.567
26.04.2021,4187.62,90.81,0.172,0.831,1.57
27.04.2021,4186.72,90.91,0.18,0.878,1.622
28.04.2021,4183.18,90.61,0.166,0.865,1.62
29.04.2021,4211.47,90.61,0.166,0.867,1.64
30.04.2021,4181.17,91.28,0.162,0.856,1.631
03.05.2021,4192.66,90.95,0.16,0.83,1.606
04.05.2021,4164.66,91.29,0.162,0.82,1.592
05.05.2021,4167.59,91.31,0.159,0.803,1.584
06.05.2021,4201.62,90.95,0.157,0.796,1.561
07.05.2021,4232.6,90.23,0.145,0.771,1.579
10.05.2021,4188.43,90.21,0.153,0.782,1.602
11.05.2021,4152.1,90.14,0.161,0.801,1.624
