date;N10D;GPRD;GPRD_ACT;GPRD_THREAT
25.09.1985;466;120.84;85.04;130.04
26.09.1985;474;174.71;167.21;174.34
27.09.1985;460;144.02;114.87;155.69
28.09.1985;332;129.71;119.36;132.75
29.09.1985;502;79.18;52.63;98.77
30.09.1985;382;104.06;86.45;115.37
01.10.1985;451;154.24;87.87;183.23
02.10.1985;450;184.03;176.13;171.39
03.10.1985;492;100.99;107.39;78.38
04.10.1985;456;159.82;159.32;169.14
05.10.1985;321;103.20;61.73;154.46
06.10.1985;501;92.57;131.83;65.98
07.10.1985;412;88.44;96.19;80.23
08.10.1985;418;134.72;189.61;92.26
09.10.1985;469;162.45;253.49;82.22
10.10.1985;486;102.24;135.90;79.35
11.10.1985;484;82.13;81.88;79.68
12.10.1985;340;146.14;194.26;97.22
13.10.1985;493;67.19;80.38;67.05
14.10.1985;335;138.44;236.59;32.89
15.10.1985;400;190.47;280.70;110.18
16.10.1985;435;106.61;106.28;113.98
17.10.1985;406;122.39;162.68;67.84
18.10.1985;420;118.31;188.71;39.35
19.10.1985;368;81.01;35.90;104.79
20.10.1985;479;82.99;82.73;80.51
21.10.1985;408;129.90;97.13;135.02
22.10.1985;394;75.67;67.05;83.89
23.10.1985;452;102.60;131.51;97.50
24.10.1985;466;71.09;85.04;47.29
25.10.1985;466;85.30;99.21;82.75
26.10.1985;373;106.57;70.83;118.16
27.10.1985;482;68.73;41.11;91.44
28.10.1985;400;41.41;49.54;27.55
29.10.1985;420;47.32;94.35;39.35
30.10.1985;470;35.24;14.05;46.89
31.10.1985;454;109.45;87.29;109.21
01.11.1985;430;100.15;61.44;115.30
02.11.1985;329;120.82;120.45;117.21
03.11.1985;495;93.69;66.71;100.16
04.11.1985;362;155.56;91.23;182.62
05.11.1985;401;107.39;82.35;109.91
06.11.1985;471;63.30;70.11;46.79
07.11.1985;468;92.02;42.34;117.71
08.11.1985;473;70.03;83.78;58.23
09.11.1985;353;84.46;93.55;62.43
10.11.1985;515;77.19;64.12;74.88
11.11.1985;388;59.76;85.11;28.40
12.11.1985;374;88.57;123.62;73.65
13.11.1985;456;79.91;28.97;108.73
14.11.1985;478;97.02;82.90;92.20
15.11.1985;458;86.79;43.26;120.28
16.11.1985;367;45.13;53.99;45.03
17.11.1985;576;86.26;45.87;105.21
18.11.1985;374;132.86;35.32;191.49
19.11.1985;409;97.19;96.89;94.29
20.11.1985;385;103.25;120.09;71.55
21.11.1985;497;73.32;66.45;66.51
22.11.1985;432;138.02;76.44;191.28
23.11.1985;333;89.53;59.50;99.26
24.11.1985;574;80.79;46.03;95.98
25.11.1985;371;151.79;231.43;89.09
26.11.1985;422;54.95;31.30;65.27
27.11.1985;443;89.73;119.27;49.74
28.11.1985;375;132.50;140.90;132.22
29.11.1985;462;93.21;85.78;119.24
30.11.1985;324;132.91;122.31;136.02
01.12.1985;548;78.58;72.31;80.42
02.12.1985;387;77.04;68.27;71.18
03.12.1985;427;15.52;15.47;12.90
04.12.1985;438;90.76;90.48;88.04
05.12.1985;477;62.50;55.39;57.75
06.12.1985;468;84.94;56.45;105.94
07.12.1985;300;99.38;110.08;73.45
08.12.1985;583;96.59;56.64;113.39
09.12.1985;404;98.39;130.79;54.54
10.12.1985;393;92.72;84.03;98.12
11.12.1985;469;84.76;42.25;105.72
12.12.1985;432;76.68;91.73;76.51
13.12.1985;463;42.93;57.06;23.80
14.12.1985;305;76.03;64.96;90.31
15.12.1985;549;72.41;72.18;70.24
16.12.1985;392;67.60;101.09;28.11
17.12.1985;405;73.61;65.23;68.01
18.12.1985;444;74.61;133.88;24.82
19.12.1985;477;90.28;110.77;69.30
20.12.1985;473;126.06;125.67;116.47
21.12.1985;292;90.76;113.09;56.60
22.12.1985;493;40.32;66.99;11.17
23.12.1985;377;87.87;105.12;102.29
24.12.1985;345;96.02;95.72;79.84
25.12.1985;191;156.09;172.90;173.06
26.12.1985;361;165.17;146.37;152.60
27.12.1985;392;109.86;117.94;84.32
28.12.1985;269;307.86;515.61;163.84
29.12.1985;477;62.50;96.92;46.20
30.12.1985;327;263.38;403.96;185.32
31.12.1985;331;220.17;339.22;116.50
01.01.1986;258;269.63;460.80;192.17
02.01.1986;374;150.57;229.58;73.65
03.01.1986;397;166.88;266.19;124.89
04.01.1986;289;126.08;251.39;114.37
05.01.1986;487;115.63;189.87;113.12
06.01.1986;314;147.69;210.34;105.27
07.01.1986;380;174.35;173.81;217.46
08.01.1986;402;131.84;230.02;150.74
09.01.1986;408;146.14;226.63;148.53
10.01.1986;405;204.48;326.16;231.24
11.01.1986;303;120.26;108.99;181.82
12.01.1986;459;115.47;143.89;132.02
13.01.1986;359;147.64;220.77;122.76
14.01.1986;386;120.14;119.78;128.45
15.01.1986;410;129.27;128.87;134.37
16.01.1986;424;195.32;124.62;298.84
17.01.1986;448;155.28;132.68;184.45
18.01.1986;308;204.35;278.77;196.75
19.01.1986;450;73.61;117.42;48.97
20.01.1986;365;163.36;162.86;150.93
21.01.1986;365;54.45;36.19;60.37
22.01.1986;399;116.23;66.21;151.88
23.01.1986;422;94.20;109.56;65.27
24.01.1986;418;87.17;110.61;79.08
25.01.1986;321;227.03;205.76;257.43
26.01.1986;517;70.48;63.88;63.93
27.01.1986;331;140.11;179.59;133.15
28.01.1986;371;142.86;89.01;207.89
29.01.1986;433;145.36;152.53;152.67
30.01.1986;422;54.95;62.60;39.16
31.01.1986;445;96.77;133.58;74.28
01.02.1986;298;55.58;44.33;73.95
02.02.1986;465;78.36;99.43;71.08
03.02.1986;381;86.94;86.68;72.30
04.02.1986;371;71.43;124.62;14.85
05.02.1986;419;134.40;173.39;92.04
06.02.1986;422;109.90;62.60;143.60
07.02.1986;412;40.20;16.03;53.49
08.02.1986;308;86.04;64.33;89.43
09.02.1986;489;47.42;40.52;45.06
10.02.1986;354;84.22;74.63;93.37
11.02.1986;373;88.81;106.24;73.85
12.02.1986;398;116.52;116.16;124.58
13.02.1986;438;83.19;90.48;75.47
14.02.1986;428;38.70;46.29;25.74
15.02.1986;286;127.41;207.84;38.52
16.02.1986;478;97.02;138.17;69.15
17.02.1986;270;110.42;171.23;61.21
18.02.1986;360;101.22;201.81;15.30
19.02.1986;378;78.87;139.78;43.72
20.02.1986;398;124.85;99.57;152.26
21.02.1986;427;131.88;170.15;116.11
22.02.1986;312;148.64;148.18;176.57
23.02.1986;497;106.64;106.31;110.85
24.02.1986;377;158.16;175.19;131.51
25.02.1986;397;133.50;149.73;97.14
26.02.1986;430;107.85;122.88;102.49
27.02.1986;465;99.73;71.02;118.47
28.02.1986;444;119.37;193.38;49.63
01.03.1986;308;75.29;85.78;53.66
02.03.1986;504;98.59;104.84;98.38
03.03.1986;344;125.18;134.40;112.10
04.03.1986;391;25.42;50.68;0.00
05.03.1986;399;74.72;49.66;96.65
06.03.1986;419;94.87;126.10;65.74
07.03.1986;447;74.11;73.88;73.95
08.03.1986;285;69.74;92.70;38.66
09.03.1986;487;68.02;94.93;56.56
10.03.1986;349;75.93;94.62;63.14
11.03.1986;365;81.68;90.48;90.56
12.03.1986;420;78.87;94.35;65.58
13.03.1986;403;73.98;81.94;54.68
14.03.1986;427;85.34;108.27;51.61
15.03.1986;302;109.69;87.48;109.45
16.03.1986;502;39.59;52.63;32.92
17.03.1986;348;104.71;37.96;142.47
18.03.1986;344;57.78;115.20;0.00
19.03.1986;422;62.80;62.60;52.22
20.03.1986;426;38.88;62.02;12.93
21.03.1986;443;97.21;134.18;49.74
22.03.1986;281;117.88;141.03;98.03
23.03.1986;517;96.11;102.20;106.56
24.03.1986;386;120.14;136.89;114.18
25.03.1986;405;155.40;228.31;95.22
26.03.1986;421;220.31;376.52;143.94
27.03.1986;435;175.15;212.57;177.30
28.03.1986;453;131.63;189.54;121.61
29.03.1986;273;182.01;145.16;201.80
30.03.1986;394;142.93;150.87;139.82
31.03.1986;331;100.08;39.91;133.15
01.04.1986;377;70.29;17.52;102.29
02.04.1986;386;111.56;51.33;142.72
03.04.1986;394;142.93;184.40;139.82
04.04.1986;446;66.85;74.04;49.41
05.04.1986;269;98.52;171.87;20.48
06.04.1986;492;94.26;107.39;78.38
07.04.1986;391;127.08;152.03;112.72
08.04.1986;384;172.53;223.60;129.12
09.04.1986;459;122.69;86.34;156.03
10.04.1986;432;130.36;122.31;165.78
11.04.1986;434;190.82;243.49;190.40
12.04.1986;296;156.68;178.51;167.50
13.04.1986;467;92.21;84.86;106.17
14.04.1986;344;154.07;249.60;128.12
15.04.1986;401;289.13;395.30;274.76
16.04.1986;428;340.54;555.54;321.79
17.04.1986;439;166.01;150.45;188.23
18.04.1986;431;222.89;367.78;191.73
19.04.1986;301;143.07;175.54;128.12
20.04.1986;459;151.56;201.45;144.03
21.04.1986;395;117.41;150.49;97.63
22.04.1986;401;132.17;197.65;96.17
23.04.1986;423;164.45;202.98;143.26
24.04.1986;428;154.79;169.75;141.59
25.04.1986;458;101.26;187.47;60.14
26.04.1986;293;146.97;135.25;169.22
27.04.1986;447;125.98;132.98;160.22
28.04.1986;347;152.74;171.30;158.76
29.04.1986;366;171.96;162.41;195.68
30.04.1986;462;114.72;142.96;83.47
01.05.1986;451;95.48;117.16;73.29
02.05.1986;453;80.44;116.64;60.81
03.05.1986;310;117.54;85.22;159.94
04.05.1986;511;97.24;77.55;107.81
05.05.1986;341;155.43;135.58;177.71
06.05.1986;389;136.25;118.85;155.78
07.05.1986;422;94.20;62.60;130.55
08.05.1986;458;94.02;115.37;84.20
09.05.1986;450;66.25;58.71;73.45
10.05.1986;289;114.62;137.12;152.50
11.05.1986;484;47.91;40.94;56.91
12.05.1986;340;97.43;135.98;97.22
13.05.1986;379;113.62;174.27;87.21
14.05.1986;432;138.02;107.02;165.78
15.05.1986;416;111.48;95.26;158.91
16.05.1986;457;101.48;57.81;144.66
17.05.1986;285;81.36;69.52;115.98
18.05.1986;471;77.36;98.16;70.18
19.05.1986;354;93.58;149.26;62.25
20.05.1986;352;244.68;262.69;250.41
21.05.1986;412;160.80;96.19;227.31
22.05.1986;437;159.19;166.25;151.28
23.05.1986;446;81.70;103.66;49.41
24.05.1986;281;176.83;117.52;215.66
25.05.1986;440;195.74;195.14;187.81
26.05.1986;270;196.30;220.16;142.83
27.05.1986;352;169.39;131.34;203.46
28.05.1986;391;144.02;135.14;154.98
29.05.1986;411;96.72;64.28;107.23
30.05.1986;454;72.96;87.29;72.81
31.05.1986;304;98.07;65.18;126.85
01.06.1986;507;104.54;104.22;97.79
02.06.1986;352;94.11;93.82;78.25
03.06.1986;391;67.78;0.00;112.72
04.06.1986;419;118.59;63.05;144.63
05.06.1986;449;73.78;44.13;110.43
06.06.1986;429;100.38;107.77;89.89
07.06.1986;299;166.18;220.89;128.97
08.06.1986;524;56.90;37.81;84.11
09.06.1986;370;62.67;71.40;59.56
10.06.1986;391;101.66;135.14;70.45
11.06.1986;404;98.39;114.44;68.18
12.06.1986;444;134.29;14.88;223.34
13.06.1986;442;164.88;74.71;224.35
14.06.1986;288;92.02;91.73;95.64
15.06.1986;469;77.69;70.41;82.22
16.06.1986;375;79.50;35.23;117.53
17.06.1986;385;68.83;17.16;100.16
18.06.1986;414;72.01;63.81;66.53
